Player,GP,PTS,REB,AST,STL,BLK,FG3M,TOV,40-Point Games,50-Point Games,Double Doubles,Triple Doubles,Total Fantasy Points,Fantasy Points Per Game
Pete Nance,36,161,75,23,9,7,33,17,0,0,0,0,210.0,5.83
Jalen Wilson,45,245,74,27,17,2,47,25,0,0,0,0,260.0,5.78
Carter Bryant,60,234,146,29,12,16,42,23,0,0,0,0,346.0,5.77
RayJ Dennis,16,64,23,30,4,4,12,15,0,0,0,0,92.0,5.75
Gabe Vincent,43,190,41,60,19,2,49,16,0,0,0,0,246.5,5.73
Keshon Gilbert,3,6,5,3,2,4,0,6,0,0,0,0,17.0,5.67
Jaylen Clark,60,231,104,32,39,8,26,19,0,0,0,0,339.5,5.66
Aaron Holiday,45,250,39,44,20,4,50,28,0,0,0,0,253.0,5.62
Tony Bradley,38,151,107,20,6,7,1,17,0,0,0,0,212.0,5.58
Taelon Peter,31,122,42,32,17,4,31,20,0,0,0,0,172.5,5.56
Liam McNeeley,28,115,60,23,5,3,22,12,0,0,0,0,155.5,5.55
Luke Travers,12,28,24,9,7,4,1,3,0,0,0,0,66.5,5.54
Nick Smith Jr.,25,146,20,28,9,2,27,19,0,0,0,0,137.5,5.5
Rasheer Fleming,44,162,91,10,13,16,32,16,0,0,0,0,240.0,5.45
Keaton Wallace,48,165,50,83,21,5,34,24,0,0,0,0,260.5,5.43
Eric Gordon,6,33,2,3,4,1,8,3,0,0,0,0,32.5,5.42
Jeremy Sochan,39,129,86,33,15,6,9,20,0,0,0,0,210.0,5.38
Malaki Branham,28,128,44,23,10,3,14,15,0,0,0,0,149.0,5.32
Tyrese Proctor,42,201,43,55,17,0,36,27,0,0,0,0,223.5,5.32
Ron Harper Jr.,23,82,36,15,4,8,21,5,0,0,0,0,121.5,5.28
Malevy Leons,18,47,36,10,8,7,3,6,0,0,0,0,95.0,5.28
David Jones Garcia,11,32,13,18,6,1,3,5,0,0,0,0,57.5,5.23
Omer Yurtseven,5,16,16,4,2,0,0,6,0,0,0,0,26.0,5.2
Keshad Johnson,25,96,49,3,10,7,12,12,0,0,1,0,129.0,5.16
Jase Richardson,46,210,54,51,16,2,26,24,0,0,0,0,235.0,5.11
Kelly Olynyk,38,121,70,44,14,3,11,22,0,0,0,0,192.0,5.05
DaRon Holmes II,19,83,29,16,0,4,18,8,0,0,0,0,95.5,5.03
Zyon Pullin,1,4,0,3,1,0,0,2,0,0,0,0,5.0,5.0
Ariel Hukporti,48,88,134,24,8,23,1,27,0,0,0,0,237.5,4.95
Mason Plumlee,17,27,46,17,8,0,0,9,0,0,0,0,83.5,4.91
Doug McDermott,19,93,20,8,4,2,29,8,0,0,0,0,93.0,4.89
Gary Harris,45,116,56,46,25,7,26,18,0,0,0,0,219.0,4.87
Miles Kelly,14,43,24,12,4,1,10,6,0,0,0,0,66.5,4.75
Patrick Baldwin Jr.,7,19,13,2,2,3,3,3,0,0,0,0,33.0,4.71
E.J. Liddell,16,45,30,9,3,5,7,6,0,0,0,0,75.0,4.69
Monte Morris,6,18,7,9,1,1,2,2,0,0,0,0,28.0,4.67
Maxi Kleber,35,76,67,22,13,10,6,13,0,0,0,0,163.0,4.66
A.J. Lawson,14,49,23,3,4,3,8,4,0,0,0,0,64.5,4.61
Joan Beringer,32,93,64,8,4,14,0,8,0,0,0,0,146.5,4.58
Dalton Knecht,48,201,68,16,10,10,31,20,0,0,0,0,220.0,4.58
Jordan Hawkins,43,163,65,27,8,7,31,23,0,0,0,0,196.0,4.56
David Roddy,2,2,4,2,1,0,0,0,0,0,0,0,9.0,4.5
Sean Pedulla,2,8,1,3,0,0,2,0,0,0,0,0,9.0,4.5
Mohamed Diawara,60,209,86,42,14,6,44,26,0,0,0,0,268.5,4.47
Isaiah Livers,34,65,60,21,12,8,12,12,0,0,0,0,147.5,4.34
Terrence Shannon Jr.,32,135,33,21,11,1,20,18,0,0,0,0,137.5,4.3
Wendell Moore Jr.,5,10,6,3,2,2,0,1,0,0,0,0,21.0,4.2
Drew Timme,21,72,27,16,5,0,8,7,0,0,0,0,86.0,4.1
Jamal Cain,28,104,34,12,7,2,16,10,0,0,0,0,114.0,4.07
Tyson Etienne,14,63,10,10,2,0,17,7,0,0,0,0,57.0,4.07
Pat Connaughton,35,101,52,17,10,1,19,9,0,0,0,0,142.0,4.06
Julian Phillips,42,116,46,8,21,7,17,8,0,0,0,0,168.5,4.01
Colin Castleton,1,2,4,1,0,0,0,2,0,0,0,0,4.0,4.0
Trey Alexander,5,14,4,5,1,1,2,1,0,0,0,0,20.0,4.0
Cam Christie,47,142,69,28,14,3,12,20,0,0,0,0,188.0,4.0
Khaman Maluach,35,79,72,6,3,18,2,22,0,0,0,0,138.5,3.96
Duop Reath,32,94,38,10,5,8,23,7,0,0,0,0,125.5,3.92
Emanuel Miller,5,15,3,4,2,0,2,0,0,0,0,0,19.5,3.9
Amir Coffey,43,125,52,24,8,5,13,6,0,0,0,0,165.0,3.84
Hunter Tyson,21,46,36,17,2,1,7,5,0,0,0,0,80.5,3.83
JD Davison,25,55,23,28,5,4,8,7,0,0,0,0,93.5,3.74
Alijah Martin,16,40,14,8,7,3,3,4,0,0,0,0,59.5,3.72
Jae'Sean Tate,35,92,48,17,9,3,8,10,0,0,0,0,129.0,3.69
Norchad Omier,3,8,4,1,1,0,0,0,0,0,0,0,11.0,3.67
TyTy Washington Jr.,9,19,2,11,4,2,3,3,0,0,0,0,33.0,3.67
Jamison Battle,51,152,75,20,6,2,29,16,0,0,0,0,185.5,3.64
James Wiseman,4,13,8,3,0,1,0,5,0,0,0,0,14.5,3.62
Dillon Jones,5,7,6,4,2,0,1,0,0,0,0,0,18.0,3.6
Drew Peterson,6,5,9,2,3,1,0,0,0,0,0,0,21.5,3.58
AJ Johnson,40,112,46,36,9,2,9,24,0,0,0,0,140.5,3.51
Rocco Zikarsky,4,6,5,0,0,3,0,0,0,0,0,0,14.0,3.5
Lachlan Olbrich,26,34,48,17,6,2,2,8,0,0,0,0,91.0,3.5
Chris Livingston,3,9,3,1,1,0,0,0,0,0,0,0,10.5,3.5
Jordan McLaughlin,37,76,26,34,16,2,16,14,0,0,0,0,128.0,3.46
Kobe Bufkin,11,33,9,5,2,3,3,4,0,0,0,0,38.0,3.45
Amari Williams,19,24,31,8,2,9,0,8,0,0,0,0,65.0,3.42
Kevin McCullar Jr.,20,36,26,19,7,0,6,12,0,0,0,0,68.0,3.4
Brooks Barnhizer,35,47,63,18,6,4,5,8,0,0,0,0,119.0,3.4
Chaz Lanier,26,65,19,14,7,0,16,2,0,0,0,0,85.5,3.29
Bobi Klintman,11,20,18,6,3,0,4,6,0,0,0,0,36.0,3.27
Orlando Robinson,4,7,4,3,1,0,1,0,0,0,0,0,13.0,3.25
Bronny James,32,66,15,38,11,2,12,14,0,0,0,0,104.0,3.25
Nikola Topić,5,16,8,10,0,0,2,11,0,0,0,0,16.0,3.2
Riley Minix,5,13,5,3,1,0,1,1,0,0,0,0,16.0,3.2
Tristan Enaruna,6,13,9,3,1,0,1,2,0,0,0,0,19.0,3.17
Xavier Tillman,24,35,35,8,7,3,3,6,0,0,0,0,76.0,3.17
Antonio Reeves,9,27,8,2,1,0,7,1,0,0,0,0,28.0,3.11
Yang Hansen,39,85,58,22,3,9,5,30,0,0,0,0,119.0,3.05
Jonathan Mogbo,29,35,47,13,5,5,0,10,0,0,0,0,87.5,3.02
Koby Brea,5,16,2,3,0,0,4,0,0,0,0,0,15.0,3.0
Lindy Waters III,36,88,27,18,5,1,25,6,0,0,0,0,107.5,2.99
Johni Broome,11,10,16,4,3,2,0,3,0,0,0,0,32.0,2.91
N'Faly Dante,4,3,7,0,2,0,0,1,0,0,0,0,11.5,2.88
Chris Youngblood,32,65,28,11,4,3,16,2,0,0,0,0,91.5,2.86
Chris Mañon,6,2,6,1,3,2,0,1,0,0,0,0,17.0,2.83
Kyle Lowry,12,14,9,11,2,2,3,4,0,0,0,0,32.5,2.71
Andre Jackson Jr.,37,47,38,27,8,2,6,14,0,0,0,0,97.5,2.64
Isaiah Crawford,12,17,10,4,2,3,2,2,0,0,0,0,31.5,2.62
Nigel Hayes-Davis,27,34,33,7,8,2,2,8,0,0,0,0,70.0,2.59
Adou Thiero,19,28,20,6,5,2,0,5,0,0,0,0,49.0,2.58
Enrique Freeman,2,0,3,0,0,1,0,0,0,0,0,0,5.0,2.5
Thanasis Antetokounmpo,28,36,22,5,9,5,0,5,0,0,0,0,68.0,2.43
Dalano Banton,5,10,1,4,1,1,0,2,0,0,0,0,12.0,2.4
